,method,n,mse_run,mse_method,mae_run,mae_method,hp,uid,epochs,fold,mae_diff,mse_diff
58,Grid,121,0.00015921421136268928,1.311512805171301e-05,0.004803689860489084,0.001551784504715569,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_195546,400,5,0.003251905355773515,0.00014609908331097627
59,Grid,121,0.00011668845120602926,1.849214528225063e-05,0.003829614617251632,0.001529745536689016,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_195603,400,6,0.002299869080562616,9.819630592377863e-05
60,Grid,121,0.00013732279483082117,1.685432905413931e-05,0.004023946692356929,0.001970308496994492,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_195623,400,7,0.002053638195362437,0.00012046846577668186
61,Grid,121,0.000136094895583926,8.122249974661103e-05,0.0047926477846662735,0.0034114532162319803,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_195640,400,8,0.0013811945684342932,5.4872395837314965e-05
62,Grid,121,0.0001091239470894578,2.9864611097456665e-05,0.0038861144269794366,0.0021662633405586163,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_195658,400,9,0.0017198510864208203,7.925933599200113e-05
27,Grid,169,8.06525483837247e-05,0.0001284523507217,0.0035609354311412,0.0044391708694523,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_183801,400.0,0,0.0008782354383111,4.7799802338073646e-05
28,Grid,169,8.987337433847225e-05,0.0001479779823989,0.0036560517851645,0.0045967739066634,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_183819,400.0,1,0.0009407221214988,5.810460806044134e-05
29,Grid,169,9.531716483695737e-05,9.065921813284172e-05,0.0038644003685256,0.003821795605322,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_183838,400.0,2,4.260476320356145e-05,4.6579467041156335e-06
63,Grid,169,6.0245260540366886e-05,4.627886422063255e-05,0.00312857562512228,0.002587495423367879,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_195715,400,3,0.0005410802017544012,1.3966396319734336e-05
64,Grid,169,0.0001066334135858594,0.0003104905483853499,0.0038784664665953783,0.005688654082220818,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_195733,400,4,0.00181018761562544,0.0002038571347994905
65,Grid,169,8.806429668121536e-05,9.691638900998914e-05,0.0037363531009437,0.0036814247247982613,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_195751,400,5,5.4928376145438676e-05,8.85209232877378e-06
66,Grid,169,5.5570934095646445e-05,0.0001330200995273145,0.0032304628623028115,0.004165200089957336,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_195811,400,6,0.0009347372276545243,7.744916543166806e-05
67,Grid,169,7.132157529644892e-05,6.0992806575096096e-05,0.00347133465056405,0.003494771624525382,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_195830,400,7,2.34369739613321e-05,1.0328768721352829e-05
68,Grid,169,9.003153015551022e-05,7.968536077016496e-05,0.003488680002595587,0.003096792936107663,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_195849,400,8,0.00039188706648792416,1.0346169385345267e-05
69,Grid,169,7.348390641832436e-05,9.971887488930623e-05,0.0037416752569087086,0.004122824257753441,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_195907,400,9,0.00038114900084473217,2.623496847098187e-05
30,Grid,529,1.2441440219463425e-05,5.415945151345849e-06,0.0012806095166461,0.0009886764992921,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_183857,400.0,0,0.000291933017354,7.025495068117574e-06
31,Grid,529,1.4018396907893008e-05,6.569292477430947e-06,0.001322155005013,0.0009907972743577,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_183922,400.0,1,0.0003313577306553,7.449104430462061e-06
32,Grid,529,2.0982637522128208e-05,8.74141020723896e-06,0.0015582267868586,0.0011845147786303,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_183948,400.0,2,0.0003737120082283,1.2241227314889248e-05
70,Grid,529,1.3433137621308148e-05,3.6189644333258947e-06,0.0013210313683941692,0.0009046707838797397,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_195925,400,3,0.00041636058451442954,9.814173187982254e-06
71,Grid,529,1.3607624109744754e-05,6.677949791660588e-06,0.0014445776721344493,0.0009786903149067664,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_195950,400,4,0.0004658873572276829,6.9296743180841656e-06
72,Grid,529,1.4762524022460294e-05,1.0552311939247113e-05,0.0015224182404726273,0.001212256569849189,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_200016,400,5,0.0003101616706234383,4.210212083213181e-06
73,Grid,529,1.973720482095832e-05,7.3693704475309314e-06,0.001580828632253855,0.001138801711997652,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_200042,400,6,0.00044202692025620293,1.236783437342739e-05
74,Grid,529,1.6481323690782698e-05,4.657994221321224e-06,0.0015015471790843934,0.0009139055494273038,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_200107,400,7,0.0005876416296570896,1.1823329469461474e-05
75,Grid,529,1.4116572735301373e-05,8.353424693881809e-06,0.0014756814533051202,0.0012235934117974879,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_200132,400,8,0.0002520880415076323,5.763148041419564e-06
76,Grid,529,1.304829910437264e-05,1.1315282978844976e-05,0.0014133330513545423,0.0013205374095791467,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_200157,400,9,9.279564177539553e-05,1.7330161255276644e-06
33,Grid,1849,4.428620904786175e-06,6.963681433337335e-06,0.0008969355157958,0.0009176799648276,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_184013,400.0,0,2.074444903181049e-05,2.53506052855116e-06
34,Grid,1849,2.7338875218110062e-06,5.756601488465645e-06,0.0007222982595462,0.0007944798256797,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_184106,400.0,1,7.218156613350861e-05,3.0227139666546387e-06
35,Grid,1849,2.943226125120786e-06,4.205725123457517e-06,0.0007599962288145,0.0008192639927269,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_184159,400.0,2,5.926776391236045e-05,1.2624989983367311e-06
77,Grid,1849,5.7453582818537235e-06,8.106207502945409e-06,0.0010208108560571696,0.0010891169820381372,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_200222,400,3,6.83061259809676e-05,2.3608492210916854e-06
78,Grid,1849,3.771454863812147e-06,7.731976110560714e-06,0.0009164831304236211,0.0010438548726680924,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_200315,400,4,0.00012737174224447133,3.960521246748568e-06
79,Grid,1849,3.8119954983030007e-06,5.780210571049494e-06,0.0008742411513757729,0.0009388541377521815,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_200408,400,5,6.461298637640864e-05,1.9682150727464936e-06
80,Grid,1849,2.0526497261435863e-06,3.5452994464569244e-06,0.000681569388988982,0.0007263633178811039,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_200500,400,6,4.479392889212186e-05,1.492649720313338e-06
81,Grid,1849,2.9141277564636223e-06,6.836043621951511e-06,0.0008105553738826777,0.0009525008210405889,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_200552,400,7,0.00014194544715791127,3.921915865487889e-06
82,Grid,1849,5.398202353377038e-06,8.99787322395754e-06,0.0009497255752111858,0.0010397045140664654,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_200643,400,8,8.997893885527965e-05,3.5996708705805013e-06
83,Grid,1849,7.069632726797202e-05,9.429920183901074e-05,0.004371530515780756,0.004546944441948668,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_200739,205,9,0.0001754139261679116,2.3602874571038726e-05
36,LatinHyperCube,25,0.0062679243970867,0.0026452872908402,0.0424706245499363,0.0335534797127826,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_184252,400.0,0,0.0089171448371536,0.0036226371062465
37,LatinHyperCube,25,0.0061664646073037,0.0011750849502389,0.0375308062832493,0.0218560516401163,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_184307,400.0,1,0.0156747546431329,0.0049913796570648
38,LatinHyperCube,25,0.0052193378747599,0.0010021554514313,0.0359694427688225,0.0201134069003602,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_184323,360.0,2,0.0158560358684623,0.0042171824233285
84,LatinHyperCube,25,0.01226305673256299,0.015069458471201174,0.060238264035966785,0.06610801087636492,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_200808,400,3,0.005869746840398135,0.0028064017386381836
85,LatinHyperCube,25,0.008939278407922547,0.008751724432939534,0.05046298121834338,0.052808008955627726,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_200824,400,4,0.002345027737284344,0.00018755397498301275
86,LatinHyperCube,25,0.0026712666803298223,0.000341247710206194,0.020109734894824666,0.010622159273170688,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_200840,400,5,0.009487575621653978,0.0023300189701236282
87,LatinHyperCube,25,0.0034856071147036944,0.0004903897800757679,0.025453198435390536,0.013673259406741481,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_200855,400,6,0.011779939028649055,0.0029952173346279266
88,LatinHyperCube,25,0.006318405624547962,0.0013803275444255417,0.03916479584068201,0.02401672932399538,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_200911,226,7,0.015148066516686633,0.00493807808012242
89,LatinHyperCube,25,0.005777556955443138,0.0013962986401808823,0.03881835483921579,0.02359284200008326,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_200921,211,8,0.015225512839132534,0.004381258315262256
90,LatinHyperCube,25,0.0038669905573692634,0.001135274703743037,0.02908404630949686,0.021847659456098085,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_200931,400,9,0.007236386853398776,0.002731715853626226
39,LatinHyperCube,49,0.0051813381251559,0.0025319657662806,0.0331496887230187,0.0244255903295813,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_184337,380.0,0,0.0087240983934373,0.0026493723588752
40,LatinHyperCube,49,0.0054592498181141,0.0029008167020812,0.0356392588976327,0.0300091676913849,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_184354,400.0,1,0.0056300912062478,0.0025584331160329
41,LatinHyperCube,49,0.0051675170075315,0.0025998231163938,0.0322708517464215,0.0255210679119391,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_184411,400.0,2,0.0067497838344824,0.0025676938911377
91,LatinHyperCube,49,0.0052875643922853065,0.002596069568967309,0.029856359411810994,0.02474849226206567,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_200947,400,3,0.005107867149745322,0.0026914948233179975
92,LatinHyperCube,49,0.005133654894595916,0.002652886013495229,0.031174921236702915,0.02516491550382921,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_201003,400,4,0.006010005732873705,0.002480768881100687
93,LatinHyperCube,49,0.0047226535551808295,0.002567533386926673,0.029974246560833757,0.024949632328756077,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_201020,400,5,0.00502461423207768,0.0021551201682541567
94,LatinHyperCube,49,0.004720119316744583,0.0022419303519323765,0.03149613044539312,0.023518396818049823,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_201036,376,6,0.0079777336273433,0.0024781889648122063
95,LatinHyperCube,49,0.0046578837915232955,0.0025091453988202897,0.030926495628668935,0.026007253950443947,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_201055,400,7,0.004919241678224988,0.002148738392703006
96,LatinHyperCube,49,0.028302963527388945,0.03669150670330856,0.087633793197,0.09418155529420241,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_201112,130,8,0.006547762097202411,0.008388543175919617
97,LatinHyperCube,49,0.006249882856473408,0.002964687808226116,0.03917701825433842,0.03289705200526732,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_201119,196,9,0.006279966249071102,0.003285195048247292
42,LatinHyperCube,121,0.0004570903675152,7.058182695447389e-05,0.0067987181009223,0.0041764854587384,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_184428,392.0,0,0.0026222326421839,0.0003865085405607
43,LatinHyperCube,121,0.0003474079391554,0.0002380395861945,0.0059202450491,0.0043499960327213,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_184445,400.0,1,0.0015702490163786,0.0001093683529608
44,LatinHyperCube,121,0.0001402224453889,4.590214594211794e-05,0.0044732445914186,0.0031346677974146,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_184502,400.0,2,0.0013385767940039,9.432029944681624e-05
98,LatinHyperCube,121,0.0014129673802766045,0.00034564719028952224,0.012127427842893557,0.0068005290080706245,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_201128,400,3,0.005326898834822932,0.0010673201899870821
99,LatinHyperCube,121,9.046478787412307e-05,1.6008962979999046e-05,0.0033820877960415744,0.0017862665381897702,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_201146,400,4,0.0015958212578518042,7.445582489412403e-05
100,LatinHyperCube,121,0.0004010483695527491,0.00015633700982893708,0.007172888390247402,0.0053528432731671325,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_201203,400,5,0.0018200451170802693,0.00024471135972381204
101,LatinHyperCube,121,0.0005623484163256986,0.000299078539793993,0.009084333019782823,0.007867294674882095,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_201220,400,6,0.001217038344900728,0.00026326987653170557
102,LatinHyperCube,121,0.00183407051791789,0.00042372477560166834,0.013196072782840271,0.007860273942207313,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_201239,400,7,0.005335798840632958,0.0014103457423162216
103,LatinHyperCube,121,0.0003349851566348163,0.0002262807272879866,0.006187948537619832,0.0053670601676124394,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_201256,400,8,0.0008208883700073924,0.00010870442934682968
104,LatinHyperCube,121,0.0004027238832077119,0.0001709139005005622,0.0066955647372042735,0.004485128017863958,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_201314,400,9,0.0022104367193403153,0.0002318099827071497
45,LatinHyperCube,169,0.0002166606772548,0.0001929852720475,0.0042434023023496,0.0044709068482719,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_184519,400.0,0,0.0002275045459222,2.3675405207264355e-05
46,LatinHyperCube,169,0.0002033991145119,0.0001491453485845,0.0040588365806462,0.0042111334746194,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_184539,400.0,1,0.0001522968939732,5.425376592742837e-05
47,LatinHyperCube,169,0.0003086465633414,0.0002849627187824,0.0053999750594446,0.0057158250374891,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_184558,387.0,2,0.0003158499780445,2.368384455902556e-05
105,LatinHyperCube,169,0.00048108177918715714,0.0004599772292888337,0.005766234402697173,0.006866407445957356,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_201331,400,3,0.001100173043260183,2.1104549898323416e-05
106,LatinHyperCube,169,0.0001551345648247519,0.0001290343853158755,0.0035219640906640533,0.003392828270602922,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_201349,400,4,0.00012913582006113125,2.6100179508876416e-05
107,LatinHyperCube,169,0.0002123933437229884,0.00021498942715769418,0.004718041953053364,0.004741103457866833,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_201411,400,5,2.306150481346924e-05,2.5960834347057862e-06
108,LatinHyperCube,169,0.00034576159898665296,0.00038291009386006553,0.00522782668877319,0.006106292806077586,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_201430,400,6,0.0008784661173043959,3.714849487341257e-05
109,LatinHyperCube,169,0.00019049039918698726,0.00018166257290677502,0.003979387300345253,0.004323603313234788,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_201449,400,7,0.00034421601288953455,8.827826280212236e-06
110,LatinHyperCube,169,0.00029989384235611896,0.0003107966560893455,0.004768339638373319,0.005577162051412224,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_201507,400,8,0.000808822413038905,1.0902813733226551e-05
111,LatinHyperCube,169,0.0002737348953964256,0.00025502415434620754,0.0048881790507149326,0.005262915916506418,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_201525,400,9,0.000374736865791485,1.871074105021806e-05
48,LatinHyperCube,529,3.3359795431005626e-05,1.8392817538776093e-05,0.0014744517785039,0.0011913953557023,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_184616,400.0,0,0.0002830564228015,1.4966977892229532e-05
49,LatinHyperCube,529,4.197976816055578e-05,2.470635481693785e-05,0.001976135215126,0.0017602003729264,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_184642,400.0,1,0.0002159348421995,1.727341334361793e-05
50,LatinHyperCube,529,1.4190480274211991e-05,1.308717005577791e-05,0.0012359179603078,0.0012675477781404,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_184707,400.0,2,3.162981783260484e-05,1.103310218434082e-06
112,LatinHyperCube,529,3.391523315602705e-05,1.757258803610623e-05,0.00202977872669747,0.0017714342324992624,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_201543,400,3,0.0002583444941982075,1.634264511992082e-05
113,LatinHyperCube,529,3.269883403118741e-05,1.5588605185569715e-05,0.0017676192335752553,0.0014739279166422264,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_201613,400,4,0.00029369131693302887,1.71102288456177e-05
114,LatinHyperCube,529,5.457575919635208e-05,3.967590022227124e-05,0.0017756903615627287,0.0016441385734296662,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_201639,400,5,0.00013155178813306244,1.4899858974080836e-05
115,LatinHyperCube,529,5.579935263815488e-05,4.7428366559056966e-05,0.00202865877369852,0.002139883593304737,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_201704,400,6,0.00011122481960621671,8.370986079097915e-06
116,LatinHyperCube,529,6.113674442756522e-05,5.40337317216257e-05,0.0016906386494940817,0.0015910560667029032,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_201730,400,7,9.958258279117857e-05,7.103012705939521e-06
117,LatinHyperCube,529,1.6605837727780433e-05,1.089986078257245e-05,0.0016143264841510805,0.0014649735381091142,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_201755,400,8,0.00014935294604196628,5.705976945207983e-06
118,LatinHyperCube,529,5.5467678884315296e-05,2.6601459567754577e-05,0.0018895981154201029,0.0014511896215083494,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_201820,400,9,0.00043840849391175345,2.886621931656072e-05
