,method,n,mse_run,mse_method,mae_run,mae_method,hp,uid,epochs,fold,mae_diff,mse_diff
179,GREEDYFP,49,0.001691720212166453,0.0017355504670190309,0.019972539495783585,0.02364212709371391,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204306,400,7,0.0036695875979303252,4.3830254852577754e-05
180,GREEDYFP,49,0.029921459371424156,0.039876900662907507,0.11071778832506467,0.1312517995324523,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204323,150,8,0.02053401120738764,0.00995544129148335
181,GREEDYFP,49,0.02611383119903311,0.035452855030849315,0.08901267701057061,0.09959913596855814,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204330,111,9,0.01058645895798753,0.009339023831816205
78,GREEDYFP,121,0.000118882427549,0.00051018313347,0.0035066515722102,0.0068938699284883,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_185856,400.0,0,0.003387218356278,0.000391300705921
79,GREEDYFP,121,0.000378137588277,0.0004968391565712,0.006887973260827,0.0087617189653967,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_185913,400.0,1,0.0018737457045697,0.0001187015682941
80,GREEDYFP,121,8.657382649870357e-05,9.517061608791564e-05,0.0033829265854558,0.0032382682758357,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_185931,400.0,2,0.0001446583096201,8.596789589212071e-06
182,GREEDYFP,121,9.02942410324066e-05,0.00012107215417068756,0.0037634454862266156,0.004240966040765854,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204336,400,3,0.00047752055453923825,3.0777913138280966e-05
183,GREEDYFP,121,8.39262342623786e-05,0.00020063937601894538,0.003687318383694628,0.005541426660520577,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204353,400,4,0.001854108276825949,0.00011671314175656678
184,GREEDYFP,121,0.0001329015810927036,0.0005783989170855693,0.0038126355372407783,0.006898806450049909,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204415,400,5,0.003086170912809131,0.0004454973359928657
185,GREEDYFP,121,0.00010296561347879775,0.00011080792300900664,0.004460169338763934,0.004665452726335222,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204435,400,6,0.00020528338757128724,7.842309530208888e-06
186,GREEDYFP,121,4.2080541063939824e-05,0.00012814989246404262,0.0024206390219481087,0.004048052667282733,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204453,400,7,0.0016274136453346246,8.606935140010279e-05
187,GREEDYFP,121,0.0001407959926122926,0.0005629830745632168,0.004305522800049311,0.006951259984351839,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204511,400,8,0.0026457371843025285,0.0004221870819509242
188,GREEDYFP,121,0.00023643508284579008,0.0007896655823192044,0.00483148485550334,0.00905205913479037,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204529,400,9,0.00422057427928703,0.0005532304994734143
81,GREEDYFP,169,3.439208535600709e-05,9.11385493796674e-05,0.0021935220809071,0.0030317834962253,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_185948,400.0,0,0.0008382614153181,5.674646402366031e-05
82,GREEDYFP,169,0.000122080537624,0.0001705437470077,0.0039820964223983,0.0054201517965054,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_190008,400.0,1,0.001438055374107,4.846320938374634e-05
83,GREEDYFP,169,0.0001585417837672,0.0004428025651629,0.0050142011567083,0.0078058333483612,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_190026,400.0,2,0.0027916321916528,0.0002842607813956
