,method,n,mse_run,mse_method,mae_run,mae_method,hp,uid,epochs,mae_diff,mse_diff
0,Random,25,0.02445591550438379,0.02128528008443461,0.08140366406626608,0.08656249943739787,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 32, 'l2_reg': 1e-08, 'n_epochs': 400}",20240606_190626,313.0,0.0051588353711317925,0.003170635419949181
1,Random,49,0.020053747625082365,0.03456589533293511,0.08085185659665829,0.1215655881971973,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 32, 'l2_reg': 1e-08, 'n_epochs': 400}",20240606_190717,198.0,0.04071373160053901,0.014512147707852745
2,Random,121,0.0028229528625078894,0.0011888478523354685,0.013158260248079338,0.008301457251868496,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 32, 'l2_reg': 1e-08, 'n_epochs': 400}",20240606_190749,400.0,0.004856802996210842,0.001634105010172421
3,Random,169,0.004716300349293341,0.006327989026377401,0.01979933290371761,0.022728102446832817,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 32, 'l2_reg': 1e-08, 'n_epochs': 400}",20240606_190855,400.0,0.002928769543115207,0.0016116886770840598
4,Random,529,1.2133330055624128e-05,2.47519622750205e-05,0.0011259360675886113,0.0013190197156325088,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 32, 'l2_reg': 1e-08, 'n_epochs': 400}",20240606_191000,400.0,0.00019308364804389755,1.2618632219396372e-05
5,Random,1849,1.7432923294768963e-05,1.9256321779598464e-05,0.0020641766769959394,0.002094101523865515,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 32, 'l2_reg': 1e-08, 'n_epochs': 400}",20240606_191112,215.0,2.9924846869575517e-05,1.8233984848295004e-06
6,Grid,25,0.015878708333061327,0.020417176481065356,0.07412056380816945,0.07570203644367181,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 32, 'l2_reg': 1e-08, 'n_epochs': 400}",20240606_191206,121.0,0.0015814726355023595,0.0045384681480040295
7,Grid,49,0.006596754658831603,0.02478146784006046,0.0301162963227351,0.05307348763105854,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 32, 'l2_reg': 1e-08, 'n_epochs': 400}",20240606_191227,333.0,0.02295719130832344,0.018184713181228856
8,Grid,121,0.00401173672400928,0.013040858114373437,0.018082175833752018,0.03229625341094392,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 32, 'l2_reg': 1e-08, 'n_epochs': 400}",20240606_191321,400.0,0.014214077577191904,0.009029121390364157
9,Grid,169,0.00045981106251344306,0.002049547082799832,0.006024154145100954,0.012586313810906781,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 32, 'l2_reg': 1e-08, 'n_epochs': 400}",20240606_191426,400.0,0.006562159665805827,0.0015897360202863891
10,Grid,529,5.975006144826083e-06,3.947386189379538e-06,0.0009826974023185017,0.0009007243773440207,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 32, 'l2_reg': 1e-08, 'n_epochs': 400}",20240606_191531,400.0,8.197302497448098e-05,2.027619955446545e-06
11,Grid,1849,1.9231378685485153e-05,2.571595454520071e-05,0.0022526416324331906,0.0023165832203016724,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 32, 'l2_reg': 1e-08, 'n_epochs': 400}",20240606_191644,163.0,6.394158786848184e-05,6.484575859715555e-06
12,LatinHyperCube,25,0.005863399972961991,0.0024402219960881076,0.03759461774654059,0.031578256260803246,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 32, 'l2_reg': 1e-08, 'n_epochs': 400}",20240606_191725,400.0,0.006016361485737344,0.0034231779768738838
13,LatinHyperCube,49,0.005785770905559992,0.002897284096226145,0.03180967201758723,0.028576422858745423,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 32, 'l2_reg': 1e-08, 'n_epochs': 400}",20240606_191829,400.0,0.003233249158841805,0.0028884868093338473
14,LatinHyperCube,121,0.0019236202171869549,0.0007851961788356003,0.013009697730820374,0.00864576126791008,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 32, 'l2_reg': 1e-08, 'n_epochs': 400}",20240606_191933,400.0,0.004363936462910294,0.0011384240383513545
15,LatinHyperCube,169,0.001594509322184341,0.0017376633074218425,0.009142866887391608,0.008771622122030497,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 32, 'l2_reg': 1e-08, 'n_epochs': 400}",20240606_192038,400.0,0.00037124476536111103,0.00014315398523750142
16,LatinHyperCube,529,0.00036579559071774916,0.00030576089647115813,0.006429976240896378,0.0065729942864527135,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 32, 'l2_reg': 1e-08, 'n_epochs': 400}",20240606_192144,217.0,0.00014301804555633558,6.003469424659103e-05
17,LatinHyperCube,1849,2.796739396473354e-05,2.2881862384179093e-05,0.0025651148159777037,0.00242766665242162,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 32, 'l2_reg': 1e-08, 'n_epochs': 400}",20240606_192225,173.0,0.0001374481635560837,5.085531580554446e-06
