index,method,n,mse_run,mse_method,mae_run,mae_method,me_run,me_method,hp,uid,epochs,fold,mae_diff,mse_diff,bias_method,bias_run
14,Random,49,0.0058268572617919,0.0025899391111972,0.0283250108999787,0.022699982546701,-0.0127349253323712,-0.0082046600525154,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130307,400,4,0.0056250283532776,0.0032369181505947,0.0259915170539376,0.0278328978958366
15,Random,49,0.0055170129258051,0.002523721636235,0.0293990360508175,0.0237906032765106,-0.007131437113971,-0.0047808815331944,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130324,400,5,0.0056084327743069,0.0029932912895701,0.0090567944999428,0.0092182846033665
16,Random,49,0.0056022055387832,0.0021503304958462,0.0295983228503268,0.0234396573448078,-0.0057674806474181,-0.0017428128215263,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130342,211,6,0.006158665505519,0.003451875042937,0.001412525440505,0.0059376316681103
17,Random,49,0.0049769357574266,0.0019386744614407,0.0263049641459505,0.0194701049330671,-0.0075841729165409,-0.0021859613905388,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130352,400,7,0.0068348592128834,0.0030382612959858,0.0024647909156318,0.0115572475980149
18,Random,49,0.0050590380921686,0.0021674078355342,0.0273752213603934,0.0206650370812304,-0.0084481815499887,-0.0054001968507599,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130409,400,8,0.006710184279163,0.0028916302566344,0.0134548401776771,0.0141077750752762
19,Random,49,0.0051467614064335,0.0025161171523195,0.0279998662415342,0.0218062008127897,-0.0100328926705054,-0.0059900521153793,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130426,400,9,0.0061936654287444,0.0026306442541139,0.0142603552111564,0.019557723272747
20,Random,121,0.0002233613397714,6.788882776825686e-05,0.0052272988695871,0.0033669491235469,-0.0011894528262867,-0.0020602387894424,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130444,394,0,0.0018603497460401,0.0001554725120032,0.06252256827902,0.006334122222803
21,Random,121,0.0003218465924913,7.43485563233916e-05,0.0055180217471585,0.003879079041099,0.0002098540333946,0.0002446678618187,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130501,400,1,0.0016389427060595,0.0002474980361679,0.0008051583724986,0.0001368313860063
22,Random,121,0.0001660684496878,0.0001193664118192,0.0046576336859758,0.00416733829868,-0.0012349607835535,-0.002709086796823,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130520,400,2,0.0004902953872958,4.670203786860229e-05,0.0614842245893783,0.0091837320079895
23,Random,121,0.0003058656852667,6.148923232432882e-05,0.0054783471470267,0.0039691025793837,0.0001579130649714,-0.0010858182299701,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130538,400,3,0.001509244567643,0.0002443764529424,0.0191741087661775,8.152773354402325e-05
