index,method,n,mse_run,mse_method,mae_run,mae_method,hp,uid,epochs,fold,mae_diff,mse_diff
17,Grid - sparse,49,0.031006225060004913,0.018323261491681845,0.08613739581909743,0.06717041061492428,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_120757,207,7,0.018966985204173156,0.012682963568323068
18,Grid - sparse,49,0.006629733556073577,0.004867226345242229,0.02752804145208844,0.026710013794553216,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_120807,400,8,0.0008180276575352231,0.001762507210831348
19,Grid - sparse,49,0.006701337837792362,0.004103184836936464,0.029866336111326386,0.02522107623662553,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_120824,400,9,0.004645259874700856,0.0025981530008558984
20,Grid - sparse,121,0.0002820325595824252,2.2443651165106013e-05,0.005472639452096812,0.0021418951363972585,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_120841,400,0,0.0033307443156995534,0.0002595889084173192
21,Grid - sparse,121,0.00020417967851780975,1.2271199226055288e-05,0.004678769637164421,0.0016457554167239187,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_120859,400,1,0.0030330142204405023,0.00019190847929175447
22,Grid - sparse,121,0.0003462591380644758,7.681316962900842e-05,0.0054051669748517465,0.0030663556038158218,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_120917,400,2,0.0023388113710359247,0.00026944596843546734
23,Grid - sparse,121,0.0002855998932877725,5.2698642152390963e-05,0.0056308027097939275,0.0028735633014067073,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_120937,400,3,0.00275723940838722,0.00023290125113538155
24,Grid - sparse,121,0.0002505101159316402,3.336749137401899e-05,0.005320232069761783,0.0021773673094263478,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_120956,400,4,0.0031428647603354357,0.00021714262455762123
25,Grid - sparse,121,0.00030280086614546594,7.282690226519276e-05,0.005543571259597131,0.0026324503655400346,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_121014,400,5,0.0029111208940570963,0.0002299739638802732
26,Grid - sparse,121,0.00027732387387348036,3.425756299738197e-05,0.005723450578897764,0.002657697496982002,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_121034,400,6,0.0030657530819157616,0.0002430663108760984
27,Grid - sparse,121,0.00026590089738089926,2.9170770697125293e-05,0.0053073602005810116,0.0022708968405660826,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_121053,400,7,0.003036463360014929,0.00023673012668377398
28,Grid - sparse,121,0.0002631517143031904,4.448897661236687e-05,0.005401346264530482,0.0029204358593384674,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_121112,400,8,0.0024809104051920147,0.00021866273769082355
29,Grid - sparse,121,0.0003374458805441708,7.164781673466483e-05,0.005998716814028155,0.0034135539425852574,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_121131,400,9,0.0025851628714428977,0.000265798063809506
30,Grid - sparse,169,0.00018640550564768022,5.56156893521275e-05,0.004471822878021806,0.002997581342681699,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_121154,400,0,0.0014742415353401067,0.00013078981629555272
31,Grid - sparse,169,0.00022385345226862523,0.00012397849617975097,0.004813640969271369,0.004122317465032883,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_121215,400,1,0.0006913235042384858,9.987495608887426e-05
