,method,n,mse_run,mse_method,mae_run,mae_method,hp,uid,epochs,mae_diff,mse_diff
0,Random,25,0.006756057051250122,0.002529047452940576,0.03282701742370483,0.024929519674094663,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 1e-08, 'n_epochs': 400}",20240608_122843,400.0,0.007897497749610165,0.004227009598309546
1,Random,49,0.013295739854004483,0.02731437655873294,0.06573185833945454,0.10576904892614561,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 1e-08, 'n_epochs': 400}",20240608_122940,400.0,0.04003719058669107,0.014018636704728457
2,Random,121,0.002402496076158048,0.0009453669527759645,0.012297587655997002,0.007026557261441479,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 1e-08, 'n_epochs': 400}",20240608_123038,400.0,0.005271030394555523,0.0014571291233820833
3,Random,169,0.0009139393677863015,0.0009635436036454745,0.007975591364329269,0.0083220376019098,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 1e-08, 'n_epochs': 400}",20240608_123136,400.0,0.0003464462375805319,4.960423585917298e-05
4,Random,529,1.751779893787828e-05,4.2348883581292695e-05,0.0014789338597241753,0.0018593710087930052,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 1e-08, 'n_epochs': 400}",20240608_123236,400.0,0.00038043714906882994,2.4831084643414416e-05
5,Random,1849,5.465312349835593e-06,6.2667995040907805e-06,0.0009181008162040295,0.0009575689595636346,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 1e-08, 'n_epochs': 400}",20240608_123340,400.0,3.946814335960508e-05,8.014871542551878e-07
6,Grid,25,0.005479993325732659,0.0023123116209249556,0.03780136836310479,0.02410554201173004,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 1e-08, 'n_epochs': 400}",20240608_123503,361.0,0.01369582635137475,0.003167681704807703
7,Grid,49,0.00691251419015547,0.025294574191844974,0.030351455729508967,0.05368943034233441,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 1e-08, 'n_epochs': 400}",20240608_123555,400.0,0.02333797461282544,0.018382060001689505
8,Grid,121,0.00010813619253661275,2.546184877488413e-05,0.004274191293217045,0.0022808817943898163,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 1e-08, 'n_epochs': 400}",20240608_123653,400.0,0.001993309498827229,8.267434376172861e-05
9,Grid,169,0.00015162189372428078,8.581192819771939e-05,0.004142001060476152,0.0038143687487381564,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 1e-08, 'n_epochs': 400}",20240608_123751,400.0,0.00032763231173799567,6.580996552656139e-05
